p,a,total_time,poa
0,0,2004.1394142079998,1.402299013401067
0,1,2004.1394142079998,1.402299013401067
0,2,2004.1394142079998,1.402299013401067
0,3,2004.1394142079998,1.402299013401067
0,4,2004.1394142079998,1.402299013401067
0,5,2004.1394142079998,1.402299013401067
0,6,2004.1394142079998,1.402299013401067
0,7,2004.1394142079998,1.402299013401067
0,8,2004.1394142079998,1.402299013401067
0,9,2004.1394142079998,1.402299013401067
0,10,2004.1394142079998,1.402299013401067
0,11,2004.1394142079998,1.402299013401067
0,12,2004.1394142079998,1.402299013401067
0,13,2004.1394142079998,1.402299013401067
0,14,2004.1394142079998,1.402299013401067
0,15,2004.1394142079998,1.402299013401067
0,16,2004.1394142079998,1.402299013401067
0,17,2004.1394142079998,1.402299013401067
0,18,2004.1394142079998,1.402299013401067
0,19,2004.1394142079998,1.402299013401067
0,20,2004.1394142079998,1.402299013401067
0,21,2004.1394142079998,1.402299013401067
0,22,2004.1394142079998,1.402299013401067
0,23,2004.1394142079998,1.402299013401067
0,24,2004.1394142079998,1.402299013401067
0,25,2004.1394142079998,1.402299013401067
0,26,2004.1394142079998,1.402299013401067
0,27,2004.1394142079998,1.402299013401067
0,28,2004.1394142079998,1.402299013401067
0,29,2004.1394142079998,1.402299013401067
0,30,2004.1394142079998,1.402299013401067
0,31,2004.1394142079998,1.402299013401067
0,32,2004.1394142079998,1.402299013401067
0,33,2004.1394142079998,1.402299013401067
0,34,2004.1394142079998,1.402299013401067
0,35,2004.1394142079998,1.402299013401067
0,36,2004.1394142079998,1.402299013401067
0,37,2004.1394142079998,1.402299013401067
0,38,2004.1394142079998,1.402299013401067
0,39,2004.1394142079998,1.402299013401067
0,40,2004.1394142079998,1.402299013401067
1,0,2004.1394142079998,1.402299013401067
1,1,2004.1394142079998,1.402299013401067
1,2,2004.1394142079998,1.402299013401067
1,3,2004.1394142079998,1.402299013401067
1,4,2004.1394142079998,1.402299013401067
1,5,2004.1394142079994,1.4022990134010667
1,6,2004.1394142079944,1.4022990134010633
1,7,2004.1394142079605,1.4022990134010396
1,8,2004.1394142078104,1.4022990134009345
1,9,2004.1394142071754,1.4022990134004902
1,10,2004.1394142053794,1.4022990133992335
1,11,2004.1394142016645,1.4022990133966342
1,12,2004.1394141932146,1.4022990133907218
1,13,2004.139414174627,1.402299013377716
1,14,2004.139414135012,1.4022990133499973
1,15,2004.1394140792988,1.4022990133110147
1,16,2004.139413984699,1.4022990132448232
1,17,2004.1394138265457,1.402299013134163
1,18,2004.139413667434,1.4022990130228323
1,19,2004.1394133070633,1.4022990127706805
1,20,2004.139412951446,1.4022990125218546
1,21,2004.1394124661274,1.4022990121822765
1,22,2004.1394118077153,1.4022990117215848
1,23,2004.1394109196267,1.402299011100188
1,24,2004.1394097284951,1.4022990102667516
1,25,2004.1394081397118,1.4022990091550778
1,26,2004.1394060319326,1.402299007680262
1,27,2004.139403250339,1.4022990057339773
1,28,2004.1394015473409,1.402299004542387
1,29,2004.1393973708705,1.4022990016201053
1,30,2004.1393948280102,1.4022989998408626
1,31,2004.1393886272308,1.402298995502169
1,32,2004.1393848720736,1.4022989928746805
1,33,2004.1393806060553,1.4022989898897418
1,34,2004.139370279019,1.4022989826639007
1,35,2004.139364068017,1.4022989783180544
1,36,2004.1393570446699,1.402298973403809
1,37,2004.1393491116846,1.4022989678530888
1,38,2004.1393401612454,1.4022989615904544
1,39,2004.1393300740087,1.4022989545324016
1,40,2004.1393187180145,1.4022989465865974
2,0,2004.1394142079998,1.402299013401067
2,1,2004.1394142079996,1.4022990134010669
2,2,2004.1394141996384,1.4022990133952165
2,3,2004.1394112440057,1.4022990113271565
2,4,2004.139307699381,1.402298938876845
2,5,2004.1382059852544,1.4022981680060054
2,6,2004.1317977003591,1.4022936841205418
2,7,2004.1130311467805,1.4022805531380453
2,8,2004.071194928432,1.4022512802804294
2,9,2003.9789371534464,1.4021867273925797
2,10,2003.832797010607,1.402084472940285
2,11,2003.6445517455484,1.4019527574779784
2,12,2003.3662333279606,1.40175801771106
2,13,2002.9674952361254,1.4014790201379261
2,14,2002.4128600210122,1.4010909411403092
2,15,2001.8707287189857,1.4007116111473077
2,16,2001.2004913468475,1.4002426451666823
2,17,2000.3834634005634,1.3996709696261123
2,18,1999.7479035133902,1.399226267527834
2,19,1998.6444272201409,1.3984541636979482
2,20,1997.8008656677707,1.397863922557913
2,21,1996.8650023771872,1.397209097768899
2,22,1995.8320414538252,1.3964863336371007
2,23,1994.6975441584607,1.3956925243707805
2,24,1993.4574870419503,1.394824854757222
2,25,1992.1083143857402,1.393880836855424
2,26,1990.6469838922142,1.392858341965699
2,27,1989.0710047547389,1.3917556272673326
2,28,1988.2394018735756,1.3911737536254445
2,29,1986.4880570520336,1.3899483353247202
2,30,1985.5680647602096,1.389304615494645
2,31,1983.6391039427751,1.3879549190453853
2,32,1982.6301167103718,1.3872489293370334
2,33,1981.591509810562,1.386522214708006
2,34,1979.425819163201,1.385006878081923
2,35,1978.2990194636338,1.3842184548336192
2,36,1977.1431668288978,1.3834097032079404
2,37,1975.9584929872476,1.382580785345455
2,38,1974.7452639350236,1.3817318873641558
2,39,1973.5037788840348,1.3808632186229437
2,40,1972.2343691185467,1.3799750109218596
3,0,2004.1394142079998,1.402299013401067
3,1,2004.1394138515548,1.402299013151662
3,2,2004.1372216814295,1.40229747928731
3,3,2004.0033235589576,1.402203790592947
3,4,2002.8556305947004,1.4014007482995539
3,5,1999.1186110710705,1.3987859507690548
3,6,1991.413252067398,1.3933945008269253
3,7,1981.63709205514,1.3865541086651567
3,8,1970.5064591919868,1.37876599004832
3,9,1957.0910018746374,1.3693791767223231
3,10,1944.4878717172296,1.360560749790441
3,11,1933.6951344671388,1.3530090571834275
3,12,1922.4431232982613,1.345136010004656
3,13,1910.8781533866154,1.3370439851773699
3,14,1899.1276319766462,1.328822129719944
3,15,1890.2572848527109,1.3226155360407639
3,16,1881.3787022841093,1.3164031800099985
3,17,1872.5216382414467,1.3102058805204495
3,18,1866.6408700507423,1.3060910991966543
3,19,1857.870030059818,1.2999541307907752
3,20,1852.0630972602842,1.2958910121883747
3,21,1846.2927791415698,1.291853512926837
3,22,1840.5620760759516,1.287843732370634
3,23,1834.873419750997,1.2838633719747912
3,24,1829.2287566127736,1.2799137936702099
3,25,1823.62962284481,1.2759960723265482
3,26,1818.0772107755683,1.2721110422176172
3,27,1812.5724269307955,1.268259337640687
3,28,1809.8381132259553,1.266346134705081
3,29,1804.4059678533183,1.2625452553637053
3,30,1801.7082345715098,1.2606576477987423
3,31,1796.3496255684693,1.2569082219529684
3,32,1793.6887982572591,1.255046437544714
3,33,1791.0403103783146,1.253193287053626
3,34,1785.7803831397907,1.24951290896972
3,35,1783.1689469651187,1.2476856836053858
3,36,1780.569857645176,1.2458670973517256
3,37,1777.983107123578,1.2440571445716768
3,38,1775.408684256925,1.242255817468187
3,39,1772.846575176336,1.2404631063371825
3,40,1770.2967636109859,1.2386789997939447
4,0,2004.1394142079998,1.402299013401067
4,1,2004.1364784107307,1.4022969592198136
4,2,2002.5972876064766,1.4012199853671266
4,3,1987.066642876015,1.390353172595214
4,4,1954.3141806949463,1.3674362312500339
4,5,1917.126003251122,1.341415614036502
4,6,1881.2841530616308,1.3163370237932903
4,7,1853.693319268849,1.2970316806957791
4,8,1830.7175225151418,1.2809554851519878
4,9,1808.4998305914794,1.2654097365659729
4,10,1790.5927666024925,1.2528801400785003
4,11,1776.667042271357,1.2431362922443596
4,12,1763.094183258888,1.233639344742961
4,13,1749.8702648576498,1.2243865514512924
4,14,1736.990760925927,1.215374745421976
4,15,1727.55429012792,1.208772034255167
4,16,1718.3068272843016,1.2023015722054031
4,17,1709.2463238624384,1.1959619259116763
4,18,1703.3088451686467,1.1918074641734522
4,19,1694.5554049865443,1.1856826704369454
4,20,1688.8207551048904,1.1816701282883135
4,21,1683.166190229514,1.1777136217250783
4,22,1677.591116467894,1.1738127351998524
4,23,1672.0949427746593,1.1699670551574042
4,24,1666.6770809860743,1.1661761700587852
4,25,1661.3369458381862,1.1624396703940294
4,26,1656.073954974907,1.1587571486878079
4,27,1650.88752894994,1.1551281995007758
4,28,1648.322847470105,1.1533336884585976
4,29,1643.2501886009197,1.1497843423017637
4,30,1640.7420681655515,1.148029407097619
4,31,1635.7818890357687,1.1445587631640302
4,32,1633.3296883805365,1.1428429551044135
4,33,1630.8959859919212,1.1411400903065492
4,34,1626.0837940758609,1.1377729932232084
4,35,1623.7051640286306,1.1361086626158514
4,36,1621.344751207999,1.1344570786261723
4,37,1619.0024858026195,1.1328181924070788
4,38,1616.6782981801555,1.131191955236733
4,39,1614.3721188870536,1.129578318518391
4,40,1612.0838786483148,1.1279772337802436
5,0,2004.1394142079998,1.402299013401067
