p,a_index,total_time,poa
0,0,2004.1394142079998,1.402299013401067
0,1,2004.1394142079998,1.402299013401067
0,2,2004.1394142079998,1.402299013401067
0,3,2004.1394142079998,1.402299013401067
0,4,2004.1394142079998,1.402299013401067
0,5,2004.1394142079998,1.402299013401067
0,6,2004.1394142079998,1.402299013401067
0,7,2004.1394142079998,1.402299013401067
0,8,2004.1394142079998,1.402299013401067
0,9,2004.1394142079998,1.402299013401067
0,10,2004.1394142079998,1.402299013401067
0,11,2004.1394142079998,1.402299013401067
0,12,2004.1394142079998,1.402299013401067
0,13,2004.1394142079998,1.402299013401067
0,14,2004.1394142079998,1.402299013401067
0,15,2004.1394142079998,1.402299013401067
0,16,2004.1394142079998,1.402299013401067
0,17,2004.1394142079998,1.402299013401067
0,18,2004.1394142079998,1.402299013401067
0,19,2004.1394142079998,1.402299013401067
0,20,2004.1394142079998,1.402299013401067
0,21,2004.1394142079998,1.402299013401067
0,22,2004.1394142079998,1.402299013401067
0,23,2004.1394142079998,1.402299013401067
0,24,2004.1394142079998,1.402299013401067
0,25,2004.1394142079998,1.402299013401067
0,26,2004.1394142079998,1.402299013401067
0,27,2004.1394142079998,1.402299013401067
0,28,2004.1394142079998,1.402299013401067
0,29,2004.1394142079998,1.402299013401067
0,30,2004.1394142079998,1.402299013401067
0,31,2004.1394142079998,1.402299013401067
0,32,2004.1394142079998,1.402299013401067
0,33,2004.1394142079998,1.402299013401067
0,34,2004.1394142079998,1.402299013401067
0,35,2004.1394142079998,1.402299013401067
0,36,2004.1394142079998,1.402299013401067
0,37,2004.1394142079998,1.402299013401067
0,38,2004.1394142079998,1.402299013401067
0,39,2004.1394142079998,1.402299013401067
0,40,2004.1394142079998,1.402299013401067
1,0,2004.1394142079998,1.402299013401067
1,1,2004.1394142053794,1.4022990133992335
1,2,2004.139412951446,1.4022990125218546
1,3,2004.1393948280102,1.4022989998408626
1,4,2004.1393187180145,1.4022989465865974
1,5,2004.1391297169507,1.4022988143423016
1,6,2004.138785554609,1.4022985735314535
1,7,2004.1382181487695,1.402298176516833
1,8,2004.1374188751975,1.4022976172640516
1,9,2004.1364544537687,1.4022969424570955
1,10,2004.135080237887,1.4022959809164155
1,11,2004.1336922019393,1.4022950097058169
1,12,2004.1319109560054,1.402293763365668
1,13,2004.1296403088822,1.4022921745908563
1,14,2004.1277984062829,1.402290885809158
1,15,2004.1256483090488,1.402289381383264
1,16,2004.1231454187741,1.4022876301076102
1,17,2004.1202398033354,1.4022855970446235
1,18,2004.1168757184248,1.4022832431899377
1,19,2004.1150026176056,1.4022819325788036
1,20,2004.1108323543713,1.4022790146400725
1,21,2004.108517071655,1.4022773946336768
1,22,2004.1033773399545,1.4022737983565707
1,23,2004.1005318456648,1.402271807360432
1,24,2004.0974876936289,1.4022696773632042
1,25,2004.094233020799,1.4022674000642967
1,26,2004.0907553946618,1.4022649667646636
1,27,2004.0870417944452,1.4022623683536535
1,28,2004.0830785921771,1.402259595295756
1,29,2004.078851533615,1.4022566376172585
1,30,2004.0743457190772,1.402253484892834
1,31,2004.0695455841987,1.4022501262320761
1,32,2004.0644348806436,1.4022465502660018
1,33,2004.0589966568014,1.4022427451335473
1,34,2004.0532132384985,1.4022386984680695
1,35,2004.0532132384985,1.4022386984680695
1,36,2004.0470662097578,1.4022343973838847
1,37,2004.0405363936352,1.4022298284628598
1,38,2004.0405363936352,1.4022298284628598
1,39,2004.0336038331732,1.402224977741085
1,40,2004.026247772499,1.4022198306956484
2,0,2004.1394142079998,1.402299013401067
2,1,2003.832797010607,1.402084472940285
2,2,1997.8008656677707,1.397863922557913
2,3,1985.5680647602096,1.389304615494645
2,4,1972.2343691185467,1.3799750109218596
2,5,1959.6219131553937,1.3711500587112955
2,6,1948.4993732351318,1.3633676027373625
2,7,1938.2257825506574,1.3561791576727171
2,8,1929.2507927521806,1.3498993453749972
2,9,1921.8581550474728,1.3447267069416375
2,10,1914.3188600275441,1.33945145218978
2,11,1908.5900133897132,1.3354429705785689
2,12,1902.813120229459,1.3314008707517215
2,13,1897.0011029768368,1.3273341945507335
2,14,1893.1127697988811,1.3246135226550726
2,15,1889.2172787583006,1.321887842393414
2,16,1885.3176025028831,1.3191592337313682
2,17,1881.4164914226044,1.3164296211204587
2,18,1877.5164798678404,1.3137007778490142
2,19,1875.567621168487,1.3123371588253139
2,20,1871.6735571840375,1.3096124770767281
2,21,1869.728859196534,1.3082517693086424
2,22,1865.8453121715092,1.3055344462905525
2,23,1863.906901940198,1.3041781380738366
2,24,1861.9710085534016,1.302823590896575
2,25,1860.0378250965923,1.3014709398609294
2,26,1858.1075347351223,1.30012031312794
2,27,1856.1803110534318,1.2987718321548707
2,28,1854.2563183938742,1.2974256119322847
2,29,1852.3357121941078,1.296081761220118
2,30,1850.4186393220807,1.2947403827820698
2,31,1848.5052384077242,1.2934015736176867
2,32,1846.5956401705523,1.292065425191587
2,33,1844.689967742438,1.2907320236593056
2,34,1842.7883369849226,1.2894014500893174
2,35,1842.7883369849226,1.2894014500893174
2,36,1840.8908568004745,1.288073780680824
2,37,1838.997629437194,1.2867490869769576
2,38,1838.997629437194,1.2867490869769576
2,39,1837.1087507865225,1.2854274360730868
2,40,1835.2243106735727,1.2841088908199627
3,0,2004.1394142079998,1.402299013401067
3,1,1944.4878717172296,1.360560749790441
3,2,1852.0630972602842,1.2958910121883747
3,3,1801.7082345715098,1.2606576477987423
3,4,1770.2967636109859,1.2386789997939447
3,5,1747.8982972338638,1.2230067630824344
3,6,1731.153127774191,1.2112901457423118
3,7,1717.262320250051,1.2015707292444613
3,8,1706.0073914464874,1.1936956405928199
3,9,1697.2105475427338,1.187540477214552
3,10,1688.5956051966755,1.1815125905981116
3,11,1682.2525625194269,1.1770743552013083
3,12,1676.0098662200198,1.17270633229853
3,13,1669.8666773807329,1.1684079348979317
3,14,1665.826087773147,1.1655807289759748
3,15,1661.8291065386154,1.162784035890638
3,16,1657.875488411469,1.1600176840292067
3,17,1653.9649890312244,1.1572815024123257
3,18,1650.0973649465577,1.1545753206967801
3,19,1648.1795553107165,1.1532334267441111
3,20,1644.375789692317,1.1505719268823371
3,21,1642.4897734170352,1.149252278786333
3,22,1638.749323630357,1.1466350810962174
3,23,1636.8948301684602,1.1453374895546609
3,24,1635.050784455514,1.1440472083169393
3,25,1633.217156658707,1.1427642165089948
3,26,1631.3939170021415,1.1414884932965925
3,27,1629.5810357667976,1.1402200178852946
3,28,1627.7784832904897,1.1389587695204302
3,29,1625.9862299678225,1.1377047274870646
3,30,1624.2042462501468,1.1364578711099693
3,31,1622.4325026455117,1.1352181797535867
3,32,1620.670969718616,1.1339856328219975
3,33,1618.919618090759,1.1327602097588854
3,34,1617.1784184397898,1.1315418900475027
3,35,1617.1784184397898,1.1315418900475027
3,36,1615.4473415000568,1.1303306532106343
3,37,1613.7263580623555,1.1291264788105604
3,38,1613.7263580623555,1.1291264788105604
3,39,1612.0154389738761,1.1279293464490217
3,40,1610.3145551381517,1.1267392357671815
4,0,2004.1394142079998,1.402299013401067
4,1,1790.5927666024925,1.2528801400785003
4,2,1688.8207551048904,1.1816701282883135
4,3,1640.7420681655515,1.148029407097619
4,4,1612.0838786483148,1.1279772337802436
4,5,1592.28563166035,1.1141243740333255
4,6,1577.855906340058,1.1040278760368076
4,7,1566.143205155512,1.0958324834414073
4,8,1556.834078147555,1.089318874893849
4,9,1549.6764438478644,1.084310668655508
4,10,1542.7718554451726,1.0794795189678195
4,11,1537.7570385098131,1.0759706448890067
4,12,1532.8805899362337,1.0725585873369456
4,13,1528.1408316025927,1.0692421721275522
4,14,1525.0561092191683,1.0670837877735369
4,15,1522.0309082010463,1.06496705059798
4,16,1519.0647414161563,1.0628916197539249
4,17,1516.1571244050679,1.060857156264463
4,18,1513.307575373618,1.0588633230175784
4,19,1511.904426516551,1.0578815378962585
4,20,1509.1410819026305,1.0559480219949613
4,21,1507.7807673550797,1.0549962080969748
4,22,1505.1025580396456,1.0531222614772486
4,23,1503.7845454701721,1.0522000463295798
4,24,1502.480516032413,1.0512876151977675
4,25,1501.1904112361462,1.0503849271561256
4,26,1499.9141727549631,1.0494919413935884
4,27,1498.65174242604,1.0486086172135507
4,28,1497.4030622499067,1.047734914033706
4,29,1496.1680743902157,1.0468707913858855
4,30,1494.9467211735127,1.0460162089158962
4,31,1493.7389450890057,1.0451711263833605
4,32,1492.5446887883347,1.0443355036615545
4,33,1491.3638950853413,1.0435093007372473
4,34,1490.1965069558385,1.0426924777105395
4,35,1490.1965069558385,1.0426924777105395
4,36,1489.0424675373793,1.041884994794701
4,37,1487.9017201290283,1.0410868123160124
4,38,1487.9017201290283,1.0410868123160124
4,39,1486.7742081911294,1.0402978907136007
4,40,1485.659875345076,1.0395181905392799
